user_id,product_id,event_timestamp,product_rating
34,50,2022-01-20,5
9,84,2022-01-26,4
3,88,2022-01-27,5
28,94,2022-05-04,4
36,46,2022-05-18,4
44,2,2022-04-16,5
22,58,2022-04-06,5
28,52,2022-03-31,1
31,51,2022-04-15,1
3,71,2022-01-07,2
28,99,2022-04-24,1
39,21,2022-03-07,1
18,99,2022-01-02,1
14,75,2022-03-21,5
48,30,2022-01-01,5
47,18,2022-01-28,1
35,7,2022-01-10,5
41,85,2022-03-13,4
7,90,2022-02-24,2
48,12,2022-05-03,1
44,74,2022-04-26,4
3,28,2022-01-09,5
38,22,2022-04-01,1
8,41,2022-02-14,2
47,64,2022-01-09,2
32,88,2022-02-04,4
43,54,2022-01-13,1
3,3,2022-01-09,5
17,86,2022-01-30,5
20,71,2022-03-26,3
26,92,2022-03-06,1
35,42,2022-02-20,4
5,16,2022-03-18,3
7,40,2022-03-19,2
24,20,2022-01-14,5
19,70,2022-01-20,2
46,46,2022-04-28,5
5,28,2022-04-03,4
20,70,2022-01-05,4
12,5,2022-02-19,5
44,69,2022-04-16,3
5,79,2022-05-09,1
27,2,2022-01-25,3
46,96,2022-03-10,1
48,49,2022-03-29,3
36,4,2022-03-03,1
10,28,2022-04-17,1
28,99,2022-05-09,4
30,87,2022-05-04,2
25,46,2022-03-28,2
20,22,2022-05-12,4
7,23,2022-04-02,5
18,84,2022-05-21,3
9,29,2022-05-16,4
13,15,2022-03-29,3
33,64,2022-03-25,1
39,52,2022-05-09,1
39,9,2022-04-01,3
10,10,2022-01-14,5
16,12,2022-05-20,3
0,39,2022-03-25,1
40,64,2022-01-09,3
27,15,2022-03-12,2
41,34,2022-04-10,4
23,95,2022-02-19,2
37,82,2022-02-23,5
8,12,2022-02-12,3
49,80,2022-02-24,1
32,35,2022-05-18,1
5,3,2022-05-01,3
16,37,2022-02-21,4
27,69,2022-05-02,3
29,30,2022-01-15,3
36,83,2022-02-18,2
21,39,2022-02-01,1
45,68,2022-04-25,2
8,96,2022-03-06,1
46,83,2022-05-26,3
5,87,2022-01-25,2
18,36,2022-04-13,3
28,48,2022-03-10,5
31,39,2022-02-05,1
22,48,2022-01-10,2
31,10,2022-04-07,2
38,65,2022-03-23,4
22,91,2022-02-05,3
9,5,2022-05-22,5
15,42,2022-02-09,1
21,36,2022-04-18,2
29,97,2022-05-12,5
18,30,2022-01-06,2
41,56,2022-03-08,5
43,46,2022-02-19,1
40,45,2022-02-19,3
44,62,2022-04-18,3
12,20,2022-01-16,5
37,15,2022-04-29,4
24,47,2022-02-07,4
26,65,2022-03-31,5
49,18,2022-03-04,1
33,91,2022-05-18,5
23,80,2022-01-25,1
4,42,2022-02-17,4
24,94,2022-05-14,5
44,19,2022-01-01,5
9,84,2022-05-09,4
24,21,2022-02-18,3
44,5,2022-03-19,2
17,58,2022-01-02,4
7,99,2022-04-07,1
5,10,2022-03-18,2
22,30,2022-03-10,3
37,36,2022-04-02,5
10,34,2022-01-05,2
17,82,2022-05-03,3
11,70,2022-04-30,5
40,24,2022-01-31,5
30,60,2022-03-01,3
46,35,2022-03-04,5
11,11,2022-03-27,2
29,0,2022-04-11,3
22,20,2022-04-13,5
44,15,2022-03-29,4
44,16,2022-05-30,1
25,75,2022-04-22,3
33,58,2022-03-11,1
39,29,2022-04-23,3
11,34,2022-05-05,1
22,99,2022-05-09,3
4,95,2022-01-04,1
35,42,2022-04-29,1
48,74,2022-04-09,4
32,12,2022-03-02,1
49,59,2022-05-03,5
11,34,2022-03-18,2
36,76,2022-03-05,3
5,35,2022-03-26,2
33,70,2022-05-05,4
5,0,2022-02-08,4
19,0,2022-02-07,2
41,10,2022-03-07,3
35,51,2022-05-04,4
48,31,2022-05-09,2
4,53,2022-03-31,5
5,63,2022-04-19,4
24,61,2022-02-18,2
41,45,2022-05-04,1
40,51,2022-04-17,3
44,26,2022-05-12,4
17,97,2022-02-01,4
31,64,2022-01-05,5
4,10,2022-01-25,3
24,49,2022-02-20,3
23,62,2022-05-07,1
34,1,2022-04-08,4
19,57,2022-04-16,2
35,49,2022-03-03,1
35,90,2022-02-16,5
21,4,2022-02-08,3
9,4,2022-01-29,2
24,90,2022-03-10,1
35,43,2022-03-31,1
7,72,2022-05-20,5
47,98,2022-03-22,5
15,40,2022-01-24,5
22,86,2022-02-23,2
13,84,2022-02-06,3
41,14,2022-02-02,1
19,86,2022-01-24,1
0,51,2022-02-22,4
31,13,2022-01-21,3
1,43,2022-03-15,3
48,49,2022-01-03,1
17,57,2022-05-31,2
49,15,2022-03-20,5
40,25,2022-04-10,1
45,97,2022-03-09,2
23,4,2022-05-02,5
49,85,2022-03-23,2
22,53,2022-03-17,1
5,70,2022-04-25,2
25,41,2022-03-16,1
41,8,2022-03-17,4
41,65,2022-01-18,1
41,26,2022-04-02,5
30,55,2022-05-27,2
10,35,2022-05-22,2
4,12,2022-03-05,5
7,98,2022-04-09,4
15,36,2022-02-10,3
15,6,2022-04-19,4
4,27,2022-05-18,3
30,21,2022-05-21,5
38,13,2022-01-23,4
2,20,2022-01-17,4
11,80,2022-05-18,4
13,18,2022-01-31,2
5,47,2022-01-04,5
7,19,2022-02-07,3
7,68,2022-01-23,4
26,98,2022-03-29,3
0,28,2022-02-16,2
33,89,2022-03-06,4
22,61,2022-05-17,2
35,62,2022-05-19,4
48,96,2022-04-22,4
11,91,2022-05-21,3
9,86,2022-02-27,1
14,86,2022-04-08,4
45,74,2022-02-19,1
31,60,2022-04-13,3
45,35,2022-01-07,2
28,25,2022-04-07,3
41,64,2022-01-26,1
4,88,2022-01-25,1
20,30,2022-05-07,3
44,92,2022-05-09,1
36,37,2022-02-07,3
18,1,2022-03-01,4
40,32,2022-04-14,5
33,17,2022-02-23,1
33,10,2022-02-17,3
8,60,2022-01-05,1
12,61,2022-04-26,2
41,84,2022-05-23,1
31,91,2022-05-01,2
19,19,2022-03-27,5
25,73,2022-05-18,5
20,53,2022-05-11,2
5,23,2022-01-29,5
49,47,2022-04-01,2
35,25,2022-02-12,1
9,8,2022-04-06,2
31,52,2022-01-02,1
25,13,2022-02-08,4
26,91,2022-02-12,1
37,79,2022-05-15,3
25,65,2022-01-25,4
33,78,2022-05-24,1
9,86,2022-02-21,2
32,81,2022-04-05,2
40,23,2022-03-09,3
13,41,2022-04-18,4
12,54,2022-04-21,3
23,7,2022-02-23,3
29,42,2022-01-20,2
37,31,2022-04-08,3
36,50,2022-03-27,1
48,31,2022-04-23,2
22,41,2022-03-13,2
33,14,2022-03-19,5
25,35,2022-05-21,4
49,8,2022-05-26,4
23,0,2022-03-22,3
1,8,2022-05-10,3
38,23,2022-02-28,3
3,10,2022-05-18,4
40,95,2022-04-18,3
28,2,2022-04-26,2
17,39,2022-03-31,4
45,3,2022-01-11,2
35,0,2022-02-15,4
35,15,2022-01-03,4
23,30,2022-04-29,4
5,86,2022-04-09,4
8,84,2022-05-23,4
20,41,2022-05-21,2
11,56,2022-02-12,4
44,34,2022-02-06,4
41,32,2022-05-16,4
4,41,2022-01-25,1
14,64,2022-05-01,3
41,35,2022-02-26,4
4,4,2022-01-25,5
40,29,2022-05-06,3
29,48,2022-03-03,2
35,35,2022-01-02,2
4,31,2022-04-17,2
39,62,2022-01-25,2
0,71,2022-04-14,4
9,95,2022-03-01,5
16,72,2022-03-09,4
45,67,2022-01-17,2
8,1,2022-05-03,2
17,57,2022-05-22,1
11,58,2022-05-13,3
3,83,2022-05-24,3
19,53,2022-01-09,3
3,64,2022-02-24,5
28,16,2022-03-03,3
17,60,2022-05-29,5
34,43,2022-01-31,4
13,87,2022-01-04,4
44,41,2022-03-19,4
36,54,2022-03-22,1
8,85,2022-01-14,4
7,75,2022-04-19,4
5,4,2022-01-04,1
2,32,2022-03-29,1
6,4,2022-01-12,3
11,55,2022-02-14,3
29,11,2022-02-02,3
16,21,2022-05-02,4
15,43,2022-04-25,1
1,16,2022-03-23,1
32,4,2022-04-08,4
27,25,2022-04-29,2
24,42,2022-02-12,1
26,41,2022-02-08,1
23,80,2022-05-05,4
38,2,2022-05-15,2
18,52,2022-04-15,1
33,29,2022-05-29,1
43,76,2022-05-08,2
20,78,2022-05-29,2
14,18,2022-01-16,1
27,88,2022-01-17,2
42,93,2022-04-18,5
44,9,2022-02-17,3
2,45,2022-04-16,1
9,24,2022-02-28,1
38,59,2022-05-27,2
26,44,2022-03-16,5
46,3,2022-05-08,2
30,84,2022-05-27,4
28,54,2022-02-27,1
4,55,2022-01-06,1
5,77,2022-01-04,1
8,90,2022-03-22,5
23,2,2022-03-05,2
47,77,2022-04-07,4
5,39,2022-02-09,2
18,89,2022-02-13,3
42,95,2022-02-05,5
6,56,2022-01-17,4
25,45,2022-05-06,2
5,76,2022-01-31,1
26,43,2022-03-10,1
9,86,2022-01-10,5
14,19,2022-05-10,5
11,40,2022-05-10,2
29,22,2022-02-13,3
34,55,2022-05-13,4
15,44,2022-04-02,5
21,21,2022-05-29,2
41,76,2022-04-20,3
7,63,2022-01-16,1
36,22,2022-04-04,2
49,92,2022-02-15,3
40,71,2022-05-21,3
24,27,2022-04-05,3
9,76,2022-04-28,3
33,27,2022-03-09,4
34,73,2022-05-19,4
40,6,2022-04-14,2
17,7,2022-01-22,5
22,63,2022-03-04,4
39,85,2022-05-05,5
23,97,2022-01-16,4
13,30,2022-04-26,2
21,49,2022-01-10,3
3,78,2022-01-28,1
31,14,2022-03-17,5
36,27,2022-04-18,1
20,71,2022-03-27,4
26,28,2022-03-23,1
31,33,2022-03-22,3
23,52,2022-03-18,5
10,77,2022-03-06,4
19,39,2022-02-02,2
7,4,2022-01-18,3
23,44,2022-02-28,5
47,41,2022-01-08,4
