user_id,gender,age,gift_card_balance,number_of_credit_cards,state,tax_rate
0,2,68,300,9,SD,0.3
1,2,23,500,8,MT,1.1
2,1,75,100,0,VA,0.8
3,1,98,200,0,OH,0.4
4,0,72,300,3,OK,0.6
5,0,68,300,1,OH,0.6
6,1,74,300,5,PA,0.6
7,0,57,300,6,NY,1.0
8,0,90,100,6,LA,0.4
9,0,62,500,6,FL,0.2
10,0,94,0,6,NC,0.2
11,1,15,300,1,NE,0.6
12,1,71,0,6,WV,0.2
13,0,54,0,8,NH,0.6
14,2,18,100,1,ME,1.2
15,2,64,0,1,WI,0.9
16,1,36,200,4,NM,0.6
17,1,93,300,8,NM,0.8
18,2,41,100,8,OK,0.3
19,1,86,0,8,ME,1.0
20,1,29,200,5,SD,0.4
21,0,74,200,0,MN,0.9
22,2,17,500,3,KS,0.1
23,0,47,0,2,WY,0.5
24,1,38,0,6,WY,0.5
25,2,42,100,1,TX,0.6
26,1,80,200,0,ND,1.0
27,1,37,500,7,VT,1.1
28,1,92,0,8,NE,0.8
29,2,17,200,7,NY,0.0
30,1,27,300,6,UT,0.1
31,1,86,300,2,WY,1.2
32,1,33,100,4,AZ,0.6
33,1,98,0,1,NJ,1.1
34,2,18,200,7,MI,0.8
35,1,52,200,7,IN,0.7
36,2,63,100,3,MO,1.0
37,0,92,300,3,AL,0.7
38,1,87,200,6,LA,0.3
39,0,41,200,9,WI,0.6
40,1,41,0,4,MD,0.4
41,1,63,200,7,IN,0.8
42,2,72,0,0,NH,0.4
43,2,85,0,1,IL,0.0
44,0,66,400,4,KY,0.8
45,1,42,400,7,CA,0.3
46,2,99,300,8,WA,0.8
47,2,67,0,2,KS,0.6
48,0,95,100,9,WV,0.3
49,0,78,300,9,VA,0.0
50,1,34,200,2,IN,0.8
51,2,38,200,7,VA,0.1
52,2,43,100,7,DC,0.4
53,1,89,0,6,DE,0.0
54,0,16,500,7,MO,1.1
55,1,59,0,9,SD,0.4
56,0,39,400,9,AR,1.0
57,0,55,400,6,ID,0.6
58,0,59,500,7,MI,0.6
59,0,43,400,6,PA,1.2
60,0,49,400,2,IA,1.2
61,0,95,0,4,MO,1.0
62,1,20,0,6,RI,0.7
63,2,80,0,3,OR,0.5
64,2,81,200,0,TN,1.2
65,1,70,200,5,HI,1.1
66,0,86,300,6,FL,0.4
67,1,20,0,6,AR,1.0
68,1,31,0,2,NE,0.6
69,0,17,100,3,SC,1.2
70,2,49,200,1,CA,0.1
71,2,69,100,9,VA,0.2
72,1,56,400,8,MI,0.4
73,0,16,400,6,OR,0.4
74,1,16,0,2,SD,0.7
75,0,47,500,2,ID,1.2
76,1,60,0,9,AR,0.1
77,1,26,100,1,SC,1.0
78,0,22,500,8,VA,0.8
79,1,44,100,6,NC,0.8
80,1,73,400,2,MI,0.1
81,1,29,400,3,TX,0.2
82,2,99,300,1,AZ,1.2
83,1,56,400,3,AR,0.6
84,0,63,100,3,MS,0.6
85,2,94,400,7,SC,0.6
86,1,68,100,2,NH,0.4
87,1,66,200,2,WY,0.4
88,0,52,100,2,MN,1.0
89,0,27,100,2,MT,0.0
90,1,99,300,3,UT,0.8
91,1,25,100,8,NV,1.1
92,0,64,500,4,OK,0.0
93,2,61,500,9,RI,0.4
94,2,17,300,6,MS,0.8
95,0,29,200,2,OH,0.4
96,0,58,500,7,NM,0.8
97,1,90,200,8,VA,0.2
98,2,56,100,8,CO,1.0
99,0,68,100,6,DC,0.7
100,0,32,400,9,IL,0.4
101,2,63,100,0,ND,0.4
102,2,48,400,5,NM,0.1
103,2,81,300,4,ID,0.4
104,2,15,400,5,GA,0.6
105,2,40,100,6,UT,0.8
106,1,75,500,4,VA,0.8
107,0,98,400,7,DC,0.4
108,0,95,100,7,DC,1.0
109,1,29,100,7,ID,0.9
110,2,42,500,4,CA,0.4
111,2,50,100,7,VT,1.0
112,2,94,400,2,WV,0.3
113,0,25,400,1,CA,0.4
114,2,34,400,9,GA,0.8
115,0,97,100,0,NJ,1.2
116,0,68,400,6,DC,0.4
117,1,35,0,5,CO,0.6
118,0,95,100,8,PA,0.7
119,2,51,100,1,DC,1.2
120,2,42,500,9,GA,1.2
121,0,80,200,8,LA,0.8
122,2,69,500,9,AK,1.0
123,0,84,100,0,AR,0.6
124,2,89,200,3,MA,1.0
125,2,35,100,8,CT,0.4
126,0,80,300,7,NM,0.8
127,2,64,400,0,LA,1.1
128,2,55,0,1,RI,0.2
129,2,61,0,4,MT,1.2
130,0,17,500,1,CT,0.5
131,2,23,500,5,PA,0.2
132,1,87,100,2,WY,0.1
133,1,73,100,4,CO,0.3
134,2,23,400,8,MO,1.2
135,1,79,300,6,OH,0.4
136,2,39,100,3,IA,0.7
137,2,42,0,0,KS,1.2
138,2,27,400,6,WI,0.0
139,0,58,0,4,MA,0.5
140,1,36,200,7,PA,0.0
141,1,92,0,9,NE,0.0
142,2,42,200,8,ID,0.6
143,0,77,200,5,GA,1.2
144,2,92,500,1,UT,0.1
145,1,90,400,8,MO,0.4
146,0,35,500,1,CA,0.1
147,1,45,300,0,MN,1.0
148,1,25,200,7,MO,0.8
149,1,15,100,8,AR,1.0
150,2,97,300,1,WI,0.9
151,1,18,400,1,KY,1.2
152,0,47,300,0,FL,0.6
153,1,92,500,5,OR,1.0
154,2,48,500,6,AR,0.5
155,0,59,500,4,PA,1.2
156,0,17,500,4,IN,1.2
157,0,58,500,7,ID,0.6
158,2,24,300,1,NV,1.0
159,0,30,500,0,OR,0.3
160,1,81,400,2,TN,1.0
161,1,54,100,2,AK,1.2
162,2,48,0,4,NM,0.6
163,1,26,200,3,NJ,0.1
164,1,37,300,0,KY,1.0
165,0,26,500,9,LA,0.4
166,2,52,500,3,DE,1.0
167,1,75,100,9,IL,0.9
168,0,43,200,9,AR,0.9
169,0,49,200,4,CT,1.1
170,1,78,400,5,MA,1.0
171,0,43,500,3,SC,0.3
172,2,35,0,3,AK,1.0
173,2,97,200,5,AL,0.9
174,1,83,100,5,WV,1.0
175,0,95,100,2,SD,1.0
176,0,27,200,1,AZ,0.9
177,1,89,400,3,HI,0.4
178,2,61,200,4,GA,0.1
179,0,68,200,4,MS,0.8
180,0,44,300,9,MD,0.5
181,2,89,400,2,KS,0.2
182,2,39,500,5,PA,0.8
183,1,50,400,6,WI,1.1
184,1,22,0,3,OR,0.2
185,2,94,0,4,CO,0.9
186,2,69,0,8,WA,0.0
187,2,95,500,8,WA,0.0
188,1,30,400,2,ME,0.8
189,1,61,400,7,NH,0.6
190,2,48,300,6,ID,0.9
191,0,82,500,3,GA,0.6
192,0,93,500,3,NY,0.2
193,0,37,300,0,GA,1.2
194,1,65,200,1,CO,1.2
